valid_time,temp_2m_t-5,temp_2m_t-4,temp_2m_t-3,temp_2m_t-2,temp_2m_t-1,temp_2m_t-0,dewpoint_2m_t-5,dewpoint_2m_t-4,dewpoint_2m_t-3,dewpoint_2m_t-2,dewpoint_2m_t-1,dewpoint_2m_t-0,wind_u_10m_t-5,wind_u_10m_t-4,wind_u_10m_t-3,wind_u_10m_t-2,wind_u_10m_t-1,wind_u_10m_t-0,wind_v_10m_t-5,wind_v_10m_t-4,wind_v_10m_t-3,wind_v_10m_t-2,wind_v_10m_t-1,wind_v_10m_t-0,surface_pressure_t-5,surface_pressure_t-4,surface_pressure_t-3,surface_pressure_t-2,surface_pressure_t-1,surface_pressure_t-0,target_temp_t+1
2023-01-01 05:00:00,-0.52925694,-0.5025804,-0.502711,-0.5230719,-0.52377486,-0.5083813,0.13067012,0.14942257,0.14471182,0.1349735,0.13123067,0.14114308,0.19955395,0.37345746,0.47688356,0.80889356,0.84469396,0.836572,1.0632463,1.1052089,1.0633807,0.89067674,0.6807632,0.41376397,-0.6286831,-0.7161959,-0.8166374,-0.8426115,-0.9258853,-1.0327276,-0.021547914
2023-01-01 06:00:00,-0.5025804,-0.502711,-0.5230719,-0.52377486,-0.5083813,-0.5299292,0.14942257,0.14471182,0.1349735,0.13123067,0.14114308,0.117338665,0.37345746,0.47688356,0.80889356,0.84469396,0.836572,1.1678435,1.1052089,1.0633807,0.89067674,0.6807632,0.41376397,0.18343349,-0.7161959,-0.8166374,-0.8426115,-0.9258853,-1.0327276,-1.1018434,-0.00035345554
2023-01-01 07:00:00,-0.502711,-0.5230719,-0.52377486,-0.5083813,-0.5299292,-0.5302827,0.14471182,0.1349735,0.13123067,0.14114308,0.117338665,0.10967544,0.47688356,0.80889356,0.84469396,0.836572,1.1678435,1.4213572,1.0633807,0.89067674,0.6807632,0.41376397,0.18343349,-0.03045269,-0.8166374,-0.8426115,-0.9258853,-1.0327276,-1.1018434,-1.047087,-0.010026753
2023-01-01 08:00:00,-0.5230719,-0.52377486,-0.5083813,-0.5299292,-0.5302827,-0.5403094,0.1349735,0.13123067,0.14114308,0.117338665,0.10967544,0.081776544,0.80889356,0.84469396,0.836572,1.1678435,1.4213572,1.4933639,0.89067674,0.6807632,0.41376397,0.18343349,-0.03045269,-0.202469,-0.8426115,-0.9258853,-1.0327276,-1.1018434,-1.047087,-0.9556214,-0.07541585
2023-01-01 09:00:00,-0.52377486,-0.5083813,-0.5299292,-0.5302827,-0.5403094,-0.6157253,0.13123067,0.14114308,0.117338665,0.10967544,0.081776544,-0.003580906,0.84469396,0.836572,1.1678435,1.4213572,1.4933639,1.4731266,0.6807632,0.41376397,0.18343349,-0.03045269,-0.202469,-0.41624263,-0.9258853,-1.0327276,-1.1018434,-1.047087,-0.9556214,-0.8901617,-0.079407334
2023-01-01 10:00:00,-0.5083813,-0.5299292,-0.5302827,-0.5403094,-0.6157253,-0.6951326,0.14114308,0.117338665,0.10967544,0.081776544,-0.003580906,-0.093189515,0.836572,1.1678435,1.4213572,1.4933639,1.4731266,1.3641237,0.41376397,0.18343349,-0.03045269,-0.202469,-0.41624263,-0.15777782,-1.0327276,-1.1018434,-1.047087,-0.9556214,-0.8901617,-0.80552083,-0.0021743774
2023-01-01 11:00:00,-0.5299292,-0.5302827,-0.5403094,-0.6157253,-0.6951326,-0.697307,0.117338665,0.10967544,0.081776544,-0.003580906,-0.093189515,-0.11442094,1.1678435,1.4213572,1.4933639,1.4731266,1.3641237,1.3395629,0.18343349,-0.03045269,-0.202469,-0.41624263,-0.15777782,-0.0701164,-1.1018434,-1.047087,-0.9556214,-0.8901617,-0.80552083,-0.69605035,-0.022427678
2023-01-01 12:00:00,-0.5302827,-0.5403094,-0.6157253,-0.6951326,-0.697307,-0.71973467,0.10967544,0.081776544,-0.003580906,-0.093189515,-0.11442094,-0.14871225,1.4213572,1.4933639,1.4731266,1.3641237,1.3395629,1.2908967,-0.03045269,-0.202469,-0.41624263,-0.15777782,-0.0701164,-0.10779285,-1.047087,-0.9556214,-0.8901617,-0.80552083,-0.69605035,-0.59006643,0.017264485
2023-01-01 13:00:00,-0.5403094,-0.6157253,-0.6951326,-0.697307,-0.71973467,-0.7024702,0.081776544,-0.003580906,-0.093189515,-0.11442094,-0.14871225,-0.17626297,1.4933639,1.4731266,1.3641237,1.3395629,1.2908967,1.2027831,-0.202469,-0.41624263,-0.15777782,-0.0701164,-0.10779285,-0.17884344,-0.9556214,-0.8901617,-0.80552083,-0.69605035,-0.59006643,-0.4817193,0.09167379
2023-01-01 14:00:00,-0.6157253,-0.6951326,-0.697307,-0.71973467,-0.7024702,-0.6107964,-0.003580906,-0.093189515,-0.11442094,-0.14871225,-0.17626297,-0.19187145,1.4731266,1.3641237,1.3395629,1.2908967,1.2027831,1.2264342,-0.41624263,-0.15777782,-0.0701164,-0.10779285,-0.17884344,-0.22536893,-0.8901617,-0.80552083,-0.69605035,-0.59006643,-0.4817193,-0.30669376,0.11758584
