valid_time,temp_2m_t-0,temp_2m_t-1,temp_2m_t-2,temp_2m_t-3,temp_2m_t-4,temp_2m_t-5,dewpoint_2m_t-0,dewpoint_2m_t-1,dewpoint_2m_t-2,dewpoint_2m_t-3,dewpoint_2m_t-4,dewpoint_2m_t-5,wind_u_10m_t-0,wind_u_10m_t-1,wind_u_10m_t-2,wind_u_10m_t-3,wind_u_10m_t-4,wind_u_10m_t-5,wind_v_10m_t-0,wind_v_10m_t-1,wind_v_10m_t-2,wind_v_10m_t-3,wind_v_10m_t-4,wind_v_10m_t-5,surface_pressure_t-0,surface_pressure_t-1,surface_pressure_t-2,surface_pressure_t-3,surface_pressure_t-4,surface_pressure_t-5,target_temp_t+1
2023-01-01 18:00:00,11.155182,10.816406,10.751831,10.689545,9.755463,9.027222,3.933258,4.315918,5.2626343,6.1202393,7.219452,7.356262,4.150888,3.9756525,4.256549,4.4309597,4.3155055,4.2487364,-1.4458123,-1.8236456,-1.9228803,-1.1824347,-0.72657776,-0.59591556,100883.32,100870.91,100904.44,100895.49,100795.9,100666.87,11.268066
2023-01-01 19:00:00,11.268066,11.155182,10.816406,10.751831,10.689545,9.755463,3.359375,3.933258,4.315918,5.2626343,6.1202393,7.219452,3.6228395,4.150888,3.9756525,4.256549,4.4309597,4.3155055,-0.9833026,-1.4458123,-1.8236456,-1.9228803,-1.1824347,-0.72657776,100871.94,100883.32,100870.91,100904.44,100895.49,100795.9,11.15683
2023-01-01 20:00:00,11.15683,11.268066,11.155182,10.816406,10.751831,10.689545,3.1159363,3.359375,3.933258,4.315918,5.2626343,6.1202393,2.987956,3.6228395,4.150888,3.9756525,4.256549,4.4309597,-0.37471068,-0.9833026,-1.4458123,-1.8236456,-1.9228803,-1.1824347,100883.43,100871.94,100883.32,100870.91,100904.44,100895.49,10.52182
2023-01-01 21:00:00,10.52182,11.15683,11.268066,11.155182,10.816406,10.751831,2.9933167,3.1159363,3.359375,3.933258,4.315918,5.2626343,2.6603003,2.987956,3.6228395,4.150888,3.9756525,4.256549,0.120083004,-0.37471068,-0.9833026,-1.4458123,-1.8236456,-1.9228803,100906.3,100883.43,100871.94,100883.32,100870.91,100904.44,9.5850525
2023-01-01 22:00:00,9.5850525,10.52182,11.15683,11.268066,11.155182,10.816406,3.2458496,2.9933167,3.1159363,3.359375,3.933258,4.315918,2.1304522,2.6603003,2.987956,3.6228395,4.150888,3.9756525,-0.41612062,0.120083004,-0.37471068,-0.9833026,-1.4458123,-1.8236456,100950.06,100906.3,100883.43,100871.94,100883.32,100870.91,8.463928
2023-01-01 23:00:00,8.463928,9.5850525,10.52182,11.15683,11.268066,11.155182,3.167694,3.2458496,2.9933167,3.1159363,3.359375,3.933258,2.1571753,2.1304522,2.6603003,2.987956,3.6228395,4.150888,0.18636109,-0.41612062,0.120083004,-0.37471068,-0.9833026,-1.4458123,101004.77,100950.06,100906.3,100883.43,100871.94,100883.32,7.766632
2023-01-02 00:00:00,7.766632,8.463928,9.5850525,10.52182,11.15683,11.268066,3.3321533,3.167694,3.2458496,2.9933167,3.1159363,3.359375,2.4959052,2.1571753,2.1304522,2.6603003,2.987956,3.6228395,0.577356,0.18636109,-0.41612062,0.120083004,-0.37471068,-0.9833026,101074.3,101004.77,100950.06,100906.3,100883.43,100871.94,7.2645264
2023-01-02 01:00:00,7.2645264,7.766632,8.463928,9.5850525,10.52182,11.15683,3.1828003,3.3321533,3.167694,3.2458496,2.9933167,3.1159363,2.9101515,2.4959052,2.1571753,2.1304522,2.6603003,2.987956,0.38154358,0.577356,0.18636109,-0.41612062,0.120083004,-0.37471068,101174.12,101074.3,101004.77,100950.06,100906.3,100883.43,7.0820007
2023-01-02 02:00:00,7.0820007,7.2645264,7.766632,8.463928,9.5850525,10.52182,3.302765,3.1828003,3.3321533,3.167694,3.2458496,2.9933167,2.915537,2.9101515,2.4959052,2.1571753,2.1304522,2.6603003,0.2723993,0.38154358,0.577356,0.18636109,-0.41612062,0.120083004,101203.91,101174.12,101074.3,101004.77,100950.06,100906.3,6.7235107
2023-01-02 03:00:00,6.7235107,7.0820007,7.2645264,7.766632,8.463928,9.5850525,3.224823,3.302765,3.1828003,3.3321533,3.167694,3.2458496,2.545791,2.915537,2.9101515,2.4959052,2.1571753,2.1304522,0.42405882,0.2723993,0.38154358,0.577356,0.18636109,-0.41612062,101209.64,101203.91,101174.12,101074.3,101004.77,100950.06,6.5778503
